timestamp,run,pid,pid_status,cpu_pct,memory_mb,system_cpu_pct,power_watts,power_direction
2026-03-02 23:05:11,attention_L6,3475,running,2.7,54.2,71.6,,unknown
2026-03-02 23:05:12,residual_L6,8391,running,3.0,59.6,71.6,,unknown
2026-03-02 23:06:13,attention_L6,3475,running,3.8,58.3,58.7,,unknown
2026-03-02 23:06:14,residual_L6,8391,running,5.3,59.5,58.7,,unknown
2026-03-02 23:07:15,attention_L6,3475,running,6.6,65.8,78.9,,unknown
2026-03-02 23:07:16,residual_L6,8391,running,3.5,69.2,78.9,,unknown
2026-03-02 23:08:18,attention_L6,3475,running,2.4,60.7,67.5,,unknown
2026-03-02 23:08:19,residual_L6,8391,running,3.5,60.5,67.5,,unknown
2026-03-02 23:09:20,attention_L6,3475,running,6.6,65.9,76.1,,unknown
2026-03-02 23:09:21,residual_L6,8391,running,6.6,69.7,76.1,,unknown
2026-03-02 23:10:22,attention_L6,3475,running,4.6,66.2,66.2,,unknown
2026-03-02 23:10:23,residual_L6,8391,running,5.3,74.3,66.2,,unknown
2026-03-02 23:11:24,attention_L6,3475,running,4.7,63.6,65.8,,unknown
2026-03-02 23:11:25,residual_L6,8391,running,5.0,63.2,65.8,,unknown
2026-03-02 23:12:26,attention_L6,3475,running,0.8,63.5,65.4,,unknown
2026-03-02 23:12:27,residual_L6,8391,running,0.4,64.8,65.4,,unknown
2026-03-02 23:13:28,attention_L6,3475,running,4.1,61.1,62.8,,unknown
2026-03-02 23:13:29,residual_L6,8391,running,4.9,62.9,62.8,,unknown
2026-03-02 23:14:30,attention_L6,3475,running,6.2,66.1,68.6,,unknown
2026-03-02 23:14:31,residual_L6,8391,running,4.6,64.0,68.6,,unknown
2026-03-02 23:15:32,attention_L6,3475,running,6.4,65.3,78.1,,unknown
2026-03-02 23:15:33,residual_L6,8391,running,6.7,65.2,78.1,,unknown
2026-03-02 23:16:34,attention_L6,3475,running,6.9,67.6,78.9,,unknown
2026-03-02 23:16:35,residual_L6,8391,running,7.5,69.9,78.9,,unknown
2026-03-02 23:17:36,attention_L6,3475,running,7.1,71.0,79.0,,unknown
2026-03-02 23:17:37,residual_L6,8391,running,6.9,72.3,79.0,,unknown
2026-03-02 23:18:38,attention_L6,3475,running,14.4,81.9,81.3,,unknown
2026-03-02 23:18:38,residual_L6,8391,dead,—,—,81.3,,unknown
2026-03-02 23:19:39,attention_L6,3475,running,15.7,86.3,83.9,,unknown
2026-03-02 23:19:39,residual_L6,8391,dead,—,—,83.9,,unknown
2026-03-02 23:20:40,attention_L6,3475,running,9.7,84.3,83.0,,unknown
2026-03-02 23:20:40,residual_L6,8391,dead,—,—,83.0,,unknown
2026-03-02 23:21:42,attention_L6,3475,running,11.5,85.3,82.9,,unknown
2026-03-02 23:21:42,residual_L6,8391,dead,—,—,82.9,,unknown
2026-03-02 23:22:42,attention_L6,3475,dead,—,—,62.9,,unknown
2026-03-02 23:22:42,residual_L6,8391,dead,—,—,62.9,,unknown
